"X8.Number.of.samples"	"X8.KL.divergence"
"827"	16540	0.000594151971964301
"828"	16560	0.000574881653935395
"829"	16580	0.00057434239188326
"830"	16600	0.000558631773350876
"831"	16620	0.000582666288760431
"832"	16640	0.000552470059887646
"833"	16660	0.000569319979167905
"834"	16680	0.000547462848198046
"835"	16700	0.000549074933217088
"836"	16720	0.000574807655187757
"837"	16740	0.000566123900048486
"838"	16760	0.000612805823554877
"839"	16780	0.000573662098022422
"840"	16800	0.000565377323037451
"841"	16820	0.00052464737675083
"842"	16840	0.000547612913433728
"843"	16860	0.000549201525751856
"844"	16880	0.000552510027160381
"845"	16900	0.000566507629931964
"846"	16920	0.000564758846037108
"847"	16940	0.000550786416411298
"848"	16960	0.000545246689931546
"849"	16980	0.00056610035497014
"850"	17000	0.000565709914667651
"851"	17020	0.000572517551103212
"852"	17040	0.000526431793942573
"853"	17060	0.000566735213845786
"854"	17080	0.000545865320709836
"855"	17100	0.000559851746112027
"856"	17120	0.000580873086561196
"857"	17140	0.000556170759689745
"858"	17160	0.000545961358031748
"859"	17180	0.000549925651079355
"860"	17200	0.0005441766349753
"861"	17220	0.000561248154405594
"862"	17240	0.000559117565711382
"863"	17260	0.000554404116501204
"864"	17280	0.000570485171999619
"865"	17300	0.000560742944163671
"866"	17320	0.000544856032385915
"867"	17340	0.000558121251335357
"868"	17360	0.000553483703434766
"869"	17380	0.000539507038970561
"870"	17400	0.000533913346425424
"871"	17420	0.000541213473629758
